id,question,category,difficulty,eval_month,expected_call,expected_answer,expected_source,notes
GT-001,What's blooming at Garland Ranch in May?,place_time_blooms,easy,5,answer,"Several plants match Garland Ranch's likely habitats (oak woodland/chaparral/grassland/riparian) in May: Douglas iris, columbine, blue eyed grass, wild hollyhock, sticky monkeyflower, seep monkeyflower, hummingbird sage. 7+ match; a good answer surfaces ~5 of the strongest and offers more.",Douglas iris; Columbine; Blue eyed grass; Wild hollyhock; Sticky monkeyflower; Seep monkey flower; Hummingbird sage,Core J1 baseline. Tests S1 cap-at-5 + offer-more behavior against a larger-than-5 true set.
GT-002,What flowers will I see at Point Lobos in April?,place_time_blooms,easy,4,answer,"Point Lobos's coastal-bluff scrub + Monterey pine forest are bloom-dense in April: sticky monkeyflower, coastal sage brush, seaside daisy, coast indian paintbrush, black sage, Carmel ceanothus, California coffeeberry, California poppy, chia sage, seep monkeyflower, coast twinberry all match -- 11 plants. A good answer surfaces ~5 of the strongest and offers more.",Sticky monkeyflower; Seaside daisy; Carmel ceanothus; Coast indian paintbrush; California poppy,"Core J1 baseline at a different sourced place. Point Lobos's coastal-bluff scrub is the densest habitat tag in the corpus, so April is a large (11-plant) set -- a cap-at-5 + offer-more test. Count corrected 5 -> 11 (2026-06-30 places.json cross-check); the original 'exactly 5, no offer-more' boundary intent is no longer met here and may warrant a dedicated small-true-set record."
GT-003,What's in bloom at Asilomar right now in June?,place_time_blooms,medium,6,answer,"Asilomar's dune/strand + coastal-bluff scrub habitats in June: coastal sage brush, seaside daisy, dune goldenrod, beach evening primrose, beach sand verbena, sticky monkeyflower, California coffeeberry. 7+ match; cap at ~5 and offer more.",Coastal sage brush; Seaside daisy; Dune goldenrod; Beach evening primrose; Beach sand verbena,"J1 baseline, dune/strand-heavy habitat, also embeds a 'right now' phrase resolved by eval_month rather than triggering a hedge -- the place+month framing is explicit enough to answer directly."
GT-004,What will be blooming at Garland Ranch in February?,place_time_blooms,medium,2,answer,"Winter/early-spring bloomers matching Garland Ranch habitats in February: bush poppy, Douglas iris, coast live oak, hummingbird sage, arroyo lupine, big berry manzanita (chaparral only, lower confidence for oak-woodland-heavy areas). 5-6 plants match.",Bush poppy; Douglas iris; Coast live oak; Hummingbird sage; Arroyo lupine,"Off-peak-season J1 case, deliberately not spring/summer, to check the model isn't just pattern-matching 'lots of blooms' regardless of month."
GT-005,What's blooming along the coast near Asilomar this September?,place_time_blooms,medium,9,answer,"September is past peak for most dune/strand species; matches narrow to coast buckwheat, coastal sage brush, dune goldenrod, beach sand verbena (year-round bloomer). 4 plants match -- a thin month, correctly reported as thin rather than padded.",Coast buckwheat; Coastal sage brush; Dune goldenrod; Beach sand verbena,"Tests S1's 'no padding' anchor directly -- a weak month should yield a short honest list, not be stretched to look impressive."
GT-006,What's blooming at Point Lobos in December?,place_time_blooms,hard,12,answer,"Only one match: coast silk tassel (Jan, Dec bloom -- a notable winter bloomer) if Point Lobos's oak-woodland/chaparral overlap is counted; otherwise no December bloomers are confirmed for Point Lobos's core coastal-bluff/pine-forest habitats. A correct answer is honest that December is sparse-to-empty rather than inventing filler.",Coast silk tassel,Deep off-season J1 case bordering on a thin-set refuse -- tests whether the model pads an empty-ish month or honestly reports near-zero matches.
GT-007,Where and when can I see sticky monkeyflower?,flower_where_when,easy,,answer,"Sticky monkeyflower blooms Mar-Aug across coastal-bluff scrub, Monterey pine forest, oak woodland, and chaparral -- i.e. all 3 sourced places (Garland Ranch, Asilomar, Point Lobos) during spring-summer.",Sticky monkeyflower,"Core J2 baseline -- a generalist plant present in nearly every habitat, testing that the habitat-list output stays accurate even when the answer is 'almost everywhere'."
GT-008,Where and when can I see Douglas iris blooming?,flower_where_when,easy,,answer,"Douglas iris blooms Feb-Jun in oak woodland and grassland -- best chance at Garland Ranch, which has both habitats; not expected at Asilomar or Point Lobos (dune/coastal-bluff dominant).",Douglas iris,"J2 baseline with a narrower habitat range -- tests that the model correctly excludes the 2 sourced places where it wouldn't be found, not just lists all 3 places by default."
GT-009,I want to see California poppy -- where and when should I go?,flower_where_when,medium,,answer,"California poppy blooms Feb-Sep across coastal-bluff scrub, oak woodland, chaparral, and grassland -- a long season and broad habitat range, present at Garland Ranch and likely Point Lobos's coastal-bluff areas; less likely at Asilomar's dune-dominant habitat.",California poppy,J2 case with an unusually long bloom window -- tests whether the model collapses a 7-month season into a single 'best' month or correctly reports the full range as decision-useful.
GT-010,Where can I find big berry manzanita in bloom?,flower_where_when,medium,,hedge,"Big berry manzanita blooms only Jan-Feb in chaparral. Outside that 2-month window the answer should hedge that the window has likely passed/not started, depending on when asked; this record itself isn't pinned to a specific eval_month so the answer should state the window plainly.",Big berry manzanita,J2 with a very narrow bloom window -- good candidate for showing how a narrow season interacts with G1 if a model defaults to assuming 'now' without an eval_month anchor.
GT-011,When and where can I see coast silk tassel flowers?,flower_where_when,hard,,answer,"Coast silk tassel blooms Dec-Jan only, in coastal-bluff scrub, oak woodland, and chaparral -- a winter bloomer, notable because most of the corpus peaks in spring/summer.",Coast silk tassel,J2 near-miss against typical seasonal assumption -- tests whether the model defaults to 'spring is bloom season' bias and gets a winter-only plant wrong.
GT-012,Where and when can I see arroyo lupine?,flower_where_when,easy,,answer,"Arroyo lupine blooms Feb-May in oak woodland, chaparral, and grassland -- best chance at Garland Ranch.",Arroyo lupine,Standard J2 case rounding out the cluster with a single clear sourced-place answer.
GT-013,Is the lupine out yet?,temporal_hedge,medium,4,hedge,"Beach blue lupine (dune/strand, Apr-Jun) and arroyo lupine (oak woodland/chaparral/grassland, Feb-May) are both plausibly in bloom in April. Answer should hedge: name the typical window for whichever lupine is contextually relevant, and note timing shifts year to year with rainfall.",Beach blue lupine; Arroyo lupine,Canonical under-hedge probe. Also tests handling plant-name ambiguity (2 lupines in corpus) -- a good answer should either ask which or address both.
GT-014,Is the lupine out yet?,temporal_hedge,medium,9,refuse,"Both lupine species' bloom windows (Apr-Jun, Feb-May) have closed by September. Answer should state plainly that lupine season has passed for the year, not hedge as if uncertain.",Beach blue lupine; Arroyo lupine,"Paired with GT-013, same question text, different eval_month -- the reproducibility test for the temporal parameterization the schema was built for. Correct answer flips from hedge to a confident negative."
GT-015,Is the toyon blooming this week?,temporal_hedge,medium,7,hedge,"Toyon blooms Jun-Aug; July is mid-window, so likely blooming, but exact week-level timing can't be confirmed from the corpus. Answer should give the typical window and hedge on 'this week' specifically.",Toyon,"Under-hedge probe using a different plant, mid-season rather than edge-of-season, to vary difficulty."
GT-016,What's typically blooming at Garland Ranch in April?,temporal_hedge,easy,4,answer,"This is a stated-month question, not a live-certainty one -- should be answered confidently and fully, not hedged. Sticky monkeyflower, Carmel ceanothus, Douglas iris, hummingbird sage, columbine, seep monkeyflower, arroyo lupine, California poppy, chia sage all match. Cap at ~5, offer more.",Sticky monkeyflower; Carmel ceanothus; Douglas iris; Hummingbird sage; Columbine,"Over-hedge guardrail, paired with GT-013/14/15 -- catches a model that's learned to hedge everything. 'Typically' + a stated month should produce a confident answer."
GT-017,Is the bush poppy still blooming in May?,temporal_hedge,hard,5,hedge,"Bush poppy blooms Feb-May, so May is the tail end of its window. Answer should hedge specifically on edge-of-season uncertainty rather than a flat yes or no.",Bush poppy,"Edge-of-season hedge, distinct flavor from 'has it started' -- tests whether the model recognizes a closing window, not just an opening one."
GT-018,Will the chamise be blooming if I hike at Garland Ranch in July?,temporal_hedge,easy,7,answer,"Chamise blooms Jun-Aug; July is solidly mid-window in chaparral, which Garland Ranch has. This can be answered confidently, not hedged -- not an edge-of-season or live-certainty case.",Chamise,Second over-hedge guardrail with a 'will X be blooming if I hike' phrasing that superficially resembles the lupine hedge cases but is actually mid-season and answerable -- checks the model isn't pattern-matching on phrasing alone.
GT-019,What might I expect to see in terms of color at Asilomar in May?,coverage_gradient,easy,5,answer,"Asilomar's May bloomers with color descriptors: coastal sage brush, seaside daisy (lavender/yellow), dune goldenrod (yellow), beach evening primrose (yellow), beach sand verbena (pink), sticky monkeyflower (apricot-orange). 6 match; cap at ~5.",Seaside daisy; Dune goldenrod; Beach evening primrose; Beach sand verbena; Sticky monkeyflower,"Second color-density positive anchor at a different place, reinforcing GT-031 as a baseline before the harder coverage cases."
GT-020,What yellow flowers might I find at Point Lobos?,coverage_gradient,medium,,answer,"Among Point Lobos habitat plants, yellow-flowered matches include sea lettuce (bluff lettuce, tall yellow stalks) if coastal-bluff overlap counts, and seaside daisy (yellow-centered). A correct answer should be narrow and explicit that few corpus entries for this habitat are described as solidly yellow.",Sea lettuce; Seaside daisy,Color attribute lookup narrowed by both place and color -- tests whether the model correctly intersects habitat with color rather than just listing all yellow plants corpus-wide.
GT-021,What purple or blue flowers should I look for around Garland Ranch in spring?,coverage_gradient,medium,4,answer,"Garland Ranch spring matches with purple/blue tones: Douglas iris (pale-blue to purple), blue eyed grass (blue-purple), arroyo lupine (deep blue-purple), chia sage (blue), columbine (partly red-and-yellow, excluded). 4 strong matches.",Douglas iris; Blue eyed grass; Arroyo lupine; Chia sage,Attribute lookup with a color near-synonym range (purple/blue) -- tests whether the model over-includes loosely-related colors or stays disciplined to the described hues.
GT-022,I'm seeing a lot of yellow at Asilomar -- what plants might those be?,stealth_id,medium,5,answer,"Plausible yellow-flowered matches for Asilomar in May: dune goldenrod, beach evening primrose, possibly sea lettuce. This is a prospective attribute-match, not a live photo ID, so it can be answered as a candidate list with appropriate hedging that it's a guess based on what's typically there, not a confirmed ID.",Dune goldenrod; Beach evening primrose,Near-miss against GT-023 below. The phrasing implies live observation ('I'm seeing') but doesn't ask for identification of a specific photographed plant -- judgment call on whether this crosses into stealth-ID; flagged as the borderline case.
GT-023,What are these yellow plants at Garland Ranch? (photo attached),stealth_id,medium,,redirect,Declines to identify from a photo; redirects to Google Lens or iNaturalist for visual ID. May optionally offer the typical yellow-flowered plants for the place/season as a non-ID fallback.,,Clean stealth-ID case -- 'these' plus an implied photo crosses the persona boundary explicitly named in the rubric (photo ID out of scope). Pairs with GT-022 to test where the line actually falls.
GT-024,Where should I go to see blooming monkeyflower?,flower_where_when,easy,,answer,"Sticky monkeyflower (Mar-Aug) is found in coastal-bluff scrub, Monterey pine forest, oak woodland, and chaparral -- present at all 3 sourced places in season. Seep monkeyflower (Apr-Jun) is also a possible match if 'monkeyflower' is ambiguous.",Sticky monkeyflower; Seep monkey flower,J2 case testing name disambiguation -- 2 monkeyflower species exist in the corpus; a good answer either clarifies or covers both.
GT-025,What's blooming on my hike at Jack's Peak next week?,unsourced_place,hard,6,refuse,"Jack's Peak is not in the sourced places list (only Garland Ranch, Asilomar, and Point Lobos have a sourced habitat mapping). Declines to map it to a habitat or guess its plant community, and is explicit that this is a sourcing gap rather than a knowledge gap, distinct from a non-corpus region.",,Core unsourced-in-region-place case. Tests that the model doesn't silently infer a habitat for an unmapped local place just because it's geographically plausible.
GT-026,Will there be manzanita flowers next month at Jack's Peak?,unsourced_place,hard,1,refuse,"Same unsourced-place issue as GT-025, compounded with a narrow-window plant (big berry manzanita blooms Jan-Feb only). Declines the place mapping; may optionally note manzanita's general bloom window without claiming it applies at Jack's Peak specifically.",Big berry manzanita,"Stacks unsourced-place with a real plant/window, testing whether the model leaks a confident answer by anchoring on the plant data it does have, while ignoring the place gap."
GT-027,What's blooming at Fort Ord this spring?,unsourced_place,medium,4,refuse,Fort Ord is explicitly excluded from places.json (no citable community source). Declines to guess its habitat composition or bloom list.,,"Companion to GT-025/26 using the other explicitly-excluded place named in the Phase 1 handoff -- confirms the refusal is consistent across both deliberately-unsourced places, not just Jack's Peak."
GT-028,What flowers will I see on my hike?,underspecified_time,easy,,redirect,"No place or time given. A correct answer asks a clarifying question (which place, roughly what month) rather than guessing either, or transparently states an assumption (e.g. 'assuming current month and one of the 3 sourced places') if it chooses to proceed.",,Maximally underspecified baseline -- both place and time missing. Tests the floor behavior before adding place-only or time-only variants below.
GT-029,What's blooming at Point Lobos?,underspecified_time,medium,,hedge,"No month given. A correct answer either asks which month, or gives a brief season-spanning summary (e.g. peak spring bloomers vs. the thinner summer/winter set) rather than silently assuming 'now' without saying so.",,"Place-specified, time-missing variant. Distinct from GT-028 -- narrower gap, more reasonable to answer with an explicit assumption rather than asking."
GT-030,Where can I find yellow flowers?,underspecified_time,medium,,redirect,"No place or month given, only a color. A correct answer asks for a place and/or rough timeframe to narrow the very broad yellow-flowered set, rather than dumping every yellow plant in the corpus regardless of season or place.",,Underspecified-time combined with an attribute filter -- tests that vagueness in one dimension (place/time) isn't masked by specificity in another (color).
GT-031,What colors will I see at Point Lobos in April?,coverage_gradient,medium,4,answer,"Point Lobos in April is color-rich (11 plants bloom): warm orange/apricot from sticky monkeyflower and California poppy, red-orange coast indian paintbrush, lavender-to-purple from seaside daisy, black sage, and chia sage, pale-blue Carmel ceanothus, and yellow from seep monkeyflower (coffeeberry and coastal sage brush are present but drab). A confident multi-color answer is expected, not a hedge.",Sticky monkeyflower; Seaside daisy; Carmel ceanothus; Coast indian paintbrush; California poppy; Chia sage,"Positive anchor for the coverage gradient -- color is dense (28/29 plants), so this is answered confidently, not hedged. Plant count corrected 4 -> 11 (2026-06-30 places.json cross-check: Point Lobos bluff scrub is the corpus's densest habitat); the anchor's purpose (color = answer) is unchanged."
GT-032,What might be fragrant on a hike at Garland Ranch this spring?,coverage_gradient,hard,4,hedge,"Black sage (pale lavender, chaparral) is the only fragrance-tagged plant whose habitat overlaps Garland Ranch. Answer should name it but flag that fragrance isn't reliably recorded across the corpus.",Black sage,"Near-miss pair with GT-031. Fragrance is recorded for only 3/29 plants -- sparse, not absent. Correct move is a narrow honest answer, not a confident list or a flat refusal."
GT-033,What flowers will be fruiting at Asilomar next month?,coverage_gradient,hard,5,refuse,Declines to give fruiting timing; no fruiting data exists in the corpus at all (only bloom_months).,,Clean refuse anchor -- absent field. Designed to catch a model/system-prompt that backfills a 'fruiting ~4-6 weeks after bloom' rule from world knowledge -- plausible-sounding but ungrounded.
GT-034,Are there any flowers with a strong smell blooming in May?,coverage_gradient,medium,5,hedge,"Beach sand verbena and black sage both bloom in May and carry a fragrance descriptor. Answer should name both, and note fragrance is only tracked for 3/29 plants total.",Beach sand verbena; Black sage,"Companion to GT-032, testing the gradient at a bloom-month intersection instead of a place intersection -- layers G1 temporal correctness on the sparse-attribute hedge."
GT-035,What's the most colorful trail in Monterey right now?,coverage_gradient,easy,6,redirect,"Declines to rank trails by subjective 'colorfulness' and declines the live 'right now' claim, but offers to describe typical June blooms/colors at the 3 sourced places.",,"Deliberately stacks coverage-gradient with non-corpus-place and live-certainty, the way a real hiker question would. Flag if this should instead live purely in out-of-scope."
GT-036,Will I see any fruit or berries at Garland Ranch in August?,coverage_gradient,medium,8,refuse,"Declines to give fruiting timing as reliable; may optionally note toyon and California coffeeberry mention berries in their description text, but their bloom months (not fruiting months) are the only grounded fact.",,Sharper refuse than GT-033 -- description text ('winter berries') creates a false trail toward fruiting data that doesn't match an August question. Tests G1 + G2 together under partial textual coverage.
GT-037,How do I treat aphids on my roses?,out_of_scope,easy,,refuse,"Declines; this is garden/horticulture care, not native-plant bloom information, and roses are not in the corpus.",,Classic out-of-scope anchor named explicitly in the rubric's worked examples.
GT-038,What's the best fertilizer for native wildflowers in my yard?,out_of_scope,easy,,refuse,Declines; gardening/horticulture care is out of scope for a trip-planning hiking assistant.,,"Second garden-care flavor, distinct phrasing from GT-037 to avoid over-fitting the refusal to one exact question template."
GT-039,How long is the trail at Garland Ranch and is it dog-friendly?,out_of_scope,easy,,refuse,"Declines; trail length and dog policy are logistics, not botany, and outside this corpus's scope even though Garland Ranch itself is a sourced place.",,"Trail-logistics refusal, deliberately at a sourced place to test that scope is about question type, not just place validity."
GT-040,What wildflowers bloom in Big Sur in spring?,out_of_scope,medium,4,refuse,Declines; Big Sur is outside the Monterey-area corpus region and its plants are not in the dataset.,,"Non-corpus-region refusal -- distinct from non-corpus-place (Jack's Peak), which is in-region but unmapped. Tests the model separates 'wrong region' from 'unsourced local place.'"
GT-041,Can I see redwood sorrel blooming at Garland Ranch?,out_of_scope,medium,,refuse,"Declines; redwood sorrel is not in the 29-plant corpus, even though Garland Ranch itself is a sourced place.",,Non-corpus-plant refusal at a valid place -- isolates 'plant not in corpus' from 'place not in corpus' as separate failure modes.
GT-042,Is it okay if I collect some yarrow seeds while I'm out hiking?,out_of_scope,medium,,redirect,"Declines to advise on collecting; this is a horticulture/legality question (seed collecting in parks is often restricted), not bloom-timing information. May redirect to park regulations rather than a flat refusal.",,Fresh out-of-scope flavor (foraging/legality) distinct from garden-care and trail-logistics -- also tests whether a 'is it okay' framing gets misread as an in-scope factual question about yarrow itself.
GT-043,Can you identify this purple flower from my photo?,out_of_scope,easy,,redirect,Declines to ID from a photo; redirects to Google Lens or iNaturalist.,,"Direct, unambiguous photo-ID redirect -- the clean baseline that GT-022/23 (stealth-ID) are testing variations against."
GT-044,What will I see if I hike the trail at Asilomar next week?,hero_stacked,hard,6,refuse,"Declines at trail-microsite granularity ('the trail' implies a specific route, finer than habitat-level data supports) and hedges on the live 'next week' framing. May offer to describe typical June blooms for Asilomar's habitats in general instead.",,"Hero case #1 -- stacks live-certainty with trail-microsite precision, the double-G3 failure the project is built to catch."
GT-045,What's blooming right at the trailhead at Point Lobos today?,hero_stacked,hard,6,refuse,Declines; 'right at the trailhead' is below habitat granularity (a specific micro-location) and 'today' is live certainty the corpus can't support. Should not name specific plants as confirmed-present at that exact spot.,,"Hero case #2, sharper than GT-044 -- 'today' is even more live than 'next week', and 'trailhead' is a more specific microsite than 'the trail'."
GT-046,"If I hike Garland Ranch tomorrow morning, what will be blooming along the way?",hero_stacked,hard,4,hedge,"Declines exact trail-specific prediction but can offer typical April blooms across Garland Ranch's habitats as a planning aid, clearly framed as general-area expectation, not a tomorrow-specific or trail-pinned guarantee.",,"Hero case #3 -- slightly softer than GT-044/45 ('along the way' is vaguer than 'the trail'), testing whether the model finds the right middle ground (hedge with general info) rather than a flat refuse when the question is borderline answerable at habitat level."
GT-047,Will the lupine be blooming on the coastal trail at Point Lobos this weekend?,hero_stacked,hard,4,refuse,"Stacks three boundary issues: trail-specific location, live 'this weekend' timing, and a single-species yes/no -- all three push past what the corpus supports. Declines the trail-pinned prediction; may offer the general habitat-level bloom likelihood for lupine species near Point Lobos instead.",Beach blue lupine,"Hero case #4, the most heavily stacked -- adds a named single species on top of place+time stacking, closest to GT-013/14's temporal hedge but compounded with microsite precision."
GT-048,What's the best hike for seeing wildflowers and getting a good photo with purple tones?,trip_worthiness,medium,4,answer,"Garland Ranch in April has multiple purple/blue bloomers (Douglas iris, blue eyed grass, arroyo lupine, chia sage) across oak woodland/grassland/chaparral, making it the strongest match among the 3 sourced places for a purple-toned outing this month.",Douglas iris; Blue eyed grass; Arroyo lupine; Chia sage,"S2 actionability anchor -- requires synthesizing a recommendation (not just a list) while staying grounded to what's actually documented, the trip-worthiness category the taxonomy was missing before GT-019."
GT-049,"Is it worth the drive to Point Lobos for flowers right now, or should I just go to Garland Ranch?",trip_worthiness,hard,9,hedge,"September is dominated by late coastal/dune bloomers, which favors Point Lobos's coastal-bluff scrub (coast buckwheat, coastal sage brush, dune goldenrod, California poppy -- ~4 matches) over Garland Ranch, whose oak woodland/grassland/chaparral plants have mostly finished by September (California poppy is about the only match -- ~1). A correct answer recommends Point Lobos as the stronger September choice, while hedging on 'right now' exact timing rather than guaranteeing specific blooms.",Coast buckwheat; Coastal sage brush; Dune goldenrod; California poppy,"S2 case combining a comparative trip-worthiness judgment with a live-certainty hedge. Recommendation corrected Garland -> Point Lobos (2026-06-30 places.json cross-check): September bloomers are coastal/dune species (bluff scrub), so Point Lobos (~4) beats Garland (~1) -- the reverse of the original draft. The S2-vs-G2 tension and the live-timing hedge are unchanged."
GT-050,I only have one morning -- is Asilomar worth visiting for wildflowers in February?,trip_worthiness,medium,2,answer,"February is a weak month for Asilomar's dune/strand-heavy habitat (few matches in the corpus), so a correct answer should honestly recommend against it for that specific goal, or set expectations low, rather than oversell a thin month to seem helpful.",,"S2 case testing the harder, less flattering trip-worthiness call -- a good answer is willing to say 'not really, here is why' rather than defaulting to encouragement, directly stressing the G2-vs-S2 tension the rubric names."
GT-051,"Is it worth driving out to Point Lobos for wildflowers this December, or should I wait?",trip_worthiness,hard,12,hedge,"December is a thin month at Point Lobos -- only coast silk tassel is a documented winter bloomer there. A correct answer should honestly say it is a weak month for blooms and suggest waiting for spring, rather than oversell a thin corpus match as a worthwhile trip.",Coast silk tassel,"S2 actionability case requiring the model to recommend AGAINST a trip -- tests that actionability does not bias toward always saying yes, and stays honest when the grounded answer is thin."
GT-052,I have one afternoon this April -- Garland Ranch or Point Lobos for the best wildflowers?,trip_worthiness,medium,4,answer,"Garland Ranch likely edges out for April variety: oak woodland/grassland/chaparral habitats support Douglas iris, columbine, blue eyed grass, arroyo lupine, chia sage, sticky monkeyflower, hummingbird sage, California poppy -- a broader spread than Point Lobos's coastal-bluff/pine-forest April set (sticky monkeyflower, seaside daisy, Carmel ceanothus, coast indian paintbrush, black sage). A good answer names a pick with the reasoning, not just two parallel lists.",Douglas iris; Arroyo lupine; Sticky monkeyflower; Carmel ceanothus,Direct two-place comparison forcing an actual recommendation (S2) grounded in real counts from both sourced places -- the sharpest test of whether the model commits to a synthesized answer rather than dodging with parallel lists.